,"#loc SMT definitional axiom",,
,"fork","upstream","Upstream - fork"
,,,
"average",7.29810725552051,45.692429022082,38.3943217665615
"max",40,446,406
"min",,,-6
,,,
"testcase_function",,,
"all/basic/abstract_funcs_and_preds.vpr_fun03",1,1,0
"all/basic/func2.vpr_f1",1,3,2
"all/basic/func2.vpr_f4",1,3,2
"all/basic/func3.vpr_f1",1,3,2
"all/basic/func3.vpr_f3",1,5,4
"all/basic/func3.vpr_f4",1,3,2
"all/basic/funcpred.vpr_itemat",12,21,9
"all/basic/func.vpr_f1",1,1,0
"all/basic/func.vpr_f2",1,1,0
"all/basic/func.vpr_f3",1,1,0
"all/basic/func.vpr_f4",1,1,0
"all/basic/func.vpr_f5",3,3,0
"all/basic/func.vpr_f6",1,1,0
"all/basic/func.vpr_f7",1,1,0
"all/basic/func.vpr_f8",3,1,-2
"all/basic/let.vpr_fun01",1,5,4
"all/basic/let.vpr_fun02",1,3,2
"all/basic/quantifiers.vpr_Cell_get",1,1,0
"all/basic/quantifiers.vpr_f",1,1,0
"all/basic/quantifiers.vpr_f2",1,1,0
"all/basic/quantifiers.vpr_g",1,1,0
"all/basic/quantifiers.vpr_g2",1,1,0
"all/basic/quantifiers.vpr_reqIGt0",1,1,0
"all/chalice/cyclic-list.vpr_itemAt",12,16,4
"all/chalice/cyclic-list.vpr_length",8,8,0
"all/chalice/FoldUnfoldExperiments.vpr_getX",1,1,0
"all/chalice/FoldUnfoldExperiments.vpr_getY",1,1,0
"all/chalice/framing-functions.vpr_itemAt",12,16,4
"all/chalice/internal-bug-1.vpr_get",1,1,0
"all/chalice/internal-bug-6.vpr_foo",1,1,0
"all/chalice/internal-bug-7.vpr_length",8,8,0
"all/chalice/RingBufferRd.vpr_Capacity",3,7,4
"all/chalice/RingBufferRd.vpr_Contents",32,33,1
"all/chalice/RingBufferRd.vpr_HeadF",10,14,4
"all/chalice/setset.vpr_get",1,1,0
"all/chalice/test10.vpr_get",1,1,0
"all/chalice/test1.vpr_get",1,1,0
"all/chalice/test2.vpr_getX",1,1,0
"all/chalice/test2.vpr_getY",1,1,0
"all/chalice/test2.vpr_getZ",1,1,0
"all/chalice/test3.vpr_get",1,1,0
"all/chalice/test7.vpr_get",1,1,0
"all/chalice/test8.vpr_get",1,1,0
"all/functions/applying.vpr_g",1,1,0
"all/functions/applying.vpr_g2",1,1,0
"all/functions/basic.vpr_add",1,9,8
"all/functions/basic.vpr_add3",3,5,2
"all/functions/basic.vpr_tern",1,1,0
"all/functions/framing_abstract_functions.vpr_fun02",1,1,0
"all/functions/functions.vpr_fun1",3,7,4
"all/functions/functions.vpr_fun2",3,7,4
"all/functions/functions.vpr_fun3",1,1,0
"all/functions/functions.vpr_fun4",5,7,2
"all/functions/functions.vpr_fun5",8,8,0
"all/functions/functions.vpr_fun6",1,1,0
"all/functions/linkedlists.vpr_ascending",11,15,4
"all/functions/linkedlists.vpr_contains",9,16,7
"all/functions/linkedlists.vpr_elems",10,12,2
"all/functions/linkedlists.vpr_get",12,18,6
"all/functions/linkedlists.vpr_head",3,5,2
"all/functions/linkedlists.vpr_last",8,10,2
